customerID,gender,SeniorCitizen,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Risk_Probability,Marketing_Segment,Predicted_Churn_Flag
4671-VJLCL,Female,0,63,Two year,DSL,Credit card (automatic),79.85,4861.45,No,0.013232340551242354,Low risk: retain and upsell,No
4080-IIARD,Female,0,13,Month-to-month,DSL,Electronic check,76.2,981.45,No,0.2302862340385058,Low risk: retain and upsell,No
3714-NTNFO,Female,0,49,Month-to-month,Fiber optic,Electronic check,84.5,3906.7,No,0.364368632788473,Medium risk: nurture,Yes
5948-UJZLF,Male,0,2,Month-to-month,DSL,Mailed check,49.25,97.0,No,0.2655083202158601,Low risk: retain and upsell,No
7760-OYPDY,Female,0,2,Month-to-month,Fiber optic,Electronic check,80.65,144.15,Yes,0.7613444810789316,High risk: retention/win-back,Yes
7639-LIAYI,Male,0,52,Two year,DSL,Credit card (automatic),79.75,4217.8,No,0.02941347603948773,Low risk: retain and upsell,No
2954-PIBKO,Female,0,69,Two year,DSL,Credit card (automatic),64.15,4254.1,No,0.00799146775815102,Low risk: retain and upsell,No
8012-SOUDQ,Female,1,43,Month-to-month,Fiber optic,Electronic check,90.25,3838.75,No,0.40885915154780844,Medium risk: nurture,Yes
9420-LOJKX,Female,0,15,Month-to-month,Fiber optic,Credit card (automatic),99.1,1426.4,Yes,0.3895322130288229,Medium risk: nurture,Yes
6575-SUVOI,Female,1,25,Month-to-month,DSL,Credit card (automatic),69.5,1752.65,No,0.1928921951448812,Low risk: retain and upsell,No
7495-OOKFY,Female,1,8,Month-to-month,Fiber optic,Credit card (automatic),80.65,633.3,Yes,0.5865317483533983,Medium risk: nurture,Yes
4667-QONEA,Female,1,60,One year,DSL,Credit card (automatic),74.85,4456.35,No,0.024450418970001303,Low risk: retain and upsell,No
1658-BYGOY,Male,1,18,Month-to-month,Fiber optic,Electronic check,95.45,1752.55,Yes,0.7948427099669771,High risk: retention/win-back,Yes
8769-KKTPH,Female,0,63,One year,Fiber optic,Credit card (automatic),99.65,6311.2,No,0.1440465068075231,Low risk: retain and upsell,No
5067-XJQFU,Male,1,66,One year,Fiber optic,Electronic check,108.45,7076.35,No,0.1609923468182627,Low risk: retain and upsell,No
3957-SQXML,Female,0,34,Two year,No,Credit card (automatic),24.95,894.3,No,0.009111164319946043,Low risk: retain and upsell,No
5954-BDFSG,Female,0,72,Two year,Fiber optic,Credit card (automatic),107.5,7853.7,No,0.05522635759816222,Low risk: retain and upsell,No
0434-CSFON,Female,0,47,Month-to-month,Fiber optic,Electronic check,100.5,4707.1,No,0.5545913091222058,Medium risk: nurture,Yes
1215-FIGMP,Male,0,60,Month-to-month,Fiber optic,Bank transfer (automatic),89.9,5450.7,No,0.173149490071136,Low risk: retain and upsell,No
0526-SXDJP,Male,0,72,Two year,DSL,Bank transfer (automatic),42.1,2962.0,No,0.012801182683767667,Low risk: retain and upsell,No
0557-ASKVU,Female,0,18,One year,DSL,Credit card (automatic),54.4,957.1,No,0.043840199686629576,Low risk: retain and upsell,No
5698-BQJOH,Female,0,9,Month-to-month,Fiber optic,Electronic check,94.4,857.25,Yes,0.6973057057433759,High risk: retention/win-back,Yes
5122-CYFXA,Female,0,3,Month-to-month,DSL,Electronic check,75.3,244.1,No,0.400580658745771,Medium risk: nurture,Yes
8627-ZYGSZ,Male,0,47,One year,Fiber optic,Electronic check,78.9,3650.35,No,0.2189321772658023,Low risk: retain and upsell,No
3410-YOQBQ,Female,0,31,Two year,DSL,Mailed check,79.2,2497.2,No,0.046100316901229337,Low risk: retain and upsell,No
3170-NMYVV,Female,0,50,Two year,No,Bank transfer (automatic),20.15,930.9,No,0.008178610036546276,Low risk: retain and upsell,No
7410-OIEDU,Male,0,10,Month-to-month,Fiber optic,Mailed check,79.85,887.35,No,0.4455224441131835,Medium risk: nurture,Yes
2273-QCKXA,Male,0,1,Month-to-month,DSL,Mailed check,49.05,49.05,No,0.2455931989388947,Low risk: retain and upsell,No
0731-EBJQB,Female,0,52,One year,No,Electronic check,20.4,1090.65,No,0.02169188801532789,Low risk: retain and upsell,No
1891-QRQSA,Male,1,64,Two year,Fiber optic,Bank transfer (automatic),111.6,7099.0,No,0.059025589480177026,Low risk: retain and upsell,No
8028-PNXHQ,Male,0,62,Two year,No,Bank transfer (automatic),24.25,1424.6,No,0.006015144415156182,Low risk: retain and upsell,No
5630-AHZIL,Female,0,3,Month-to-month,DSL,Bank transfer (automatic),64.5,177.4,No,0.22730017335550293,Low risk: retain and upsell,No
2673-CXQEU,Female,1,56,One year,Fiber optic,Electronic check,110.5,6139.5,No,0.12214946278255776,Low risk: retain and upsell,No
6416-JNVRK,Female,0,46,One year,DSL,Credit card (automatic),55.65,2688.85,No,0.038840647666466575,Low risk: retain and upsell,No
5590-ZSKRV,Female,0,8,Month-to-month,DSL,Mailed check,54.65,482.25,No,0.16762531135097117,Low risk: retain and upsell,No
0191-ZHSKZ,Male,1,30,Month-to-month,DSL,Electronic check,74.75,2111.3,No,0.2507119295632915,Low risk: retain and upsell,No
3887-PBQAO,Female,0,45,One year,No,Credit card (automatic),25.9,1216.6,No,0.015038113429249524,Low risk: retain and upsell,No
5919-TMRGD,Female,0,1,Month-to-month,Fiber optic,Electronic check,79.35,79.35,Yes,0.7396467499649905,High risk: retention/win-back,Yes
8108-UXRQN,Female,0,11,Month-to-month,DSL,Electronic check,50.55,565.35,No,0.3745424204781971,Medium risk: nurture,Yes
9191-MYQKX,Female,0,7,Month-to-month,Fiber optic,Bank transfer (automatic),75.15,496.9,Yes,0.4849593932412373,Medium risk: nurture,Yes
9919-YLNNG,Female,0,42,Month-to-month,Fiber optic,Bank transfer (automatic),103.8,4327.5,No,0.22321226133458286,Low risk: retain and upsell,No
0318-ZOPWS,Female,0,49,Two year,No,Bank transfer (automatic),20.15,973.35,No,0.011399569034482948,Low risk: retain and upsell,No
4445-ZJNMU,Male,0,9,Month-to-month,Fiber optic,Credit card (automatic),99.3,918.75,No,0.6852126870816398,High risk: retention/win-back,Yes
4808-YNLEU,Female,0,35,One year,DSL,Bank transfer (automatic),62.15,2215.45,No,0.038572446296673106,Low risk: retain and upsell,No
1862-QRWPE,Female,0,48,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0.008441751012223444,Low risk: retain and upsell,No
2796-NNUFI,Female,0,46,Two year,No,Mailed check,19.95,927.1,No,0.012261992674639854,Low risk: retain and upsell,No
3016-KSVCP,Male,0,29,Month-to-month,DSL,Mailed check,33.75,1009.25,No,0.2278511727546541,Low risk: retain and upsell,No
4767-HZZHQ,Male,0,30,Month-to-month,Fiber optic,Bank transfer (automatic),82.05,2570.2,No,0.17010299666421025,Low risk: retain and upsell,No
2424-WVHPL,Male,1,1,Month-to-month,Fiber optic,Electronic check,74.7,74.7,No,0.5482952205228403,Medium risk: nurture,Yes
7233-PAHHL,Male,0,66,Two year,DSL,Mailed check,84.0,5714.25,No,0.026743192517920133,Low risk: retain and upsell,No
6067-NGCEU,Female,0,65,Month-to-month,Fiber optic,Credit card (automatic),111.05,7107.0,No,0.23796984376259797,Low risk: retain and upsell,No
9848-JQJTX,Male,0,72,Two year,Fiber optic,Bank transfer (automatic),100.9,7459.05,No,0.09263955941940466,Low risk: retain and upsell,No
8637-XJIVR,Female,0,12,Month-to-month,Fiber optic,Electronic check,78.95,927.35,Yes,0.5153387083948817,Medium risk: nurture,Yes
9803-FTJCG,Male,0,71,One year,DSL,Credit card (automatic),66.85,4748.7,No,0.011355510129189651,Low risk: retain and upsell,No
0278-YXOOG,Male,0,5,Month-to-month,No,Mailed check,21.05,113.85,Yes,0.21745664888499558,Low risk: retain and upsell,No
3212-KXOCR,Male,0,52,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0.008102618706458111,Low risk: retain and upsell,No
4598-XLKNJ,Female,1,25,Month-to-month,Fiber optic,Electronic check,98.5,2514.5,Yes,0.5497892255306426,Medium risk: nurture,Yes
6380-ARCEH,Male,0,1,Month-to-month,No,Mailed check,20.2,20.2,No,0.24237325523463205,Low risk: retain and upsell,No
3679-XASPY,Female,0,1,Month-to-month,No,Electronic check,19.45,19.45,No,0.27202320863076246,Low risk: retain and upsell,No
7123-WQUHX,Male,0,38,One year,Fiber optic,Bank transfer (automatic),95.0,3605.6,No,0.13676656908917922,Low risk: retain and upsell,No
5386-THSLQ,Female,1,66,One year,DSL,Bank transfer (automatic),45.55,3027.25,No,0.04823387098482394,Low risk: retain and upsell,No
3192-NQECA,Male,0,68,Two year,Fiber optic,Bank transfer (automatic),110.0,7611.85,Yes,0.07490182395095524,Low risk: retain and upsell,No
6180-YBIQI,Male,0,5,Month-to-month,DSL,Mailed check,24.3,100.2,No,0.3716541060357756,Medium risk: nurture,Yes
6728-DKUCO,Female,0,72,One year,Fiber optic,Electronic check,104.15,7303.05,No,0.15023074180678142,Low risk: retain and upsell,No
9750-BOOHV,Female,0,32,One year,DSL,Mailed check,30.15,927.65,No,0.07075201376914515,Low risk: retain and upsell,No
8597-CWYHH,Male,0,43,One year,Fiber optic,Mailed check,94.35,3921.3,No,0.2926549285159845,Low risk: retain and upsell,Yes
2848-YXSMW,Male,0,72,Two year,No,Credit card (automatic),19.4,1363.25,No,0.004434876754806953,Low risk: retain and upsell,No
0486-HECZI,Male,0,55,Month-to-month,Fiber optic,Electronic check,96.75,5238.9,Yes,0.2164850061390117,Low risk: retain and upsell,No
4549-ZDQYY,Female,0,52,One year,DSL,Credit card (automatic),57.95,3042.25,No,0.018207449942497934,Low risk: retain and upsell,No
5712-AHQNN,Female,0,43,Month-to-month,Fiber optic,Electronic check,91.65,3954.1,No,0.2778668869836447,Low risk: retain and upsell,No
4846-WHAFZ,Female,1,37,Month-to-month,Fiber optic,Electronic check,76.5,2868.15,Yes,0.36086120845090014,Medium risk: nurture,Yes
5256-SKJGO,Female,0,64,Two year,DSL,Electronic check,54.6,3423.5,No,0.0344653173889998,Low risk: retain and upsell,No
3071-VBYPO,Male,0,3,Month-to-month,Fiber optic,Electronic check,89.85,248.4,No,0.5172713237966672,Medium risk: nurture,Yes
9560-BBZXK,Female,0,36,Two year,DSL,Bank transfer (automatic),31.05,1126.35,No,0.029488739016128057,Low risk: retain and upsell,No
5299-RULOA,Female,0,10,Month-to-month,Fiber optic,Electronic check,100.25,1064.65,Yes,0.6566999624567336,High risk: retention/win-back,Yes
8402-OOOHJ,Female,0,41,Two year,No,Mailed check,20.65,835.15,No,0.015592971756852049,Low risk: retain and upsell,No
9445-ZUEQE,Male,0,27,Month-to-month,Fiber optic,Credit card (automatic),85.2,2151.6,No,0.21336190914884917,Low risk: retain and upsell,No
1091-SOZGA,Female,0,56,One year,Fiber optic,Credit card (automatic),99.8,5515.45,No,0.2287041064222646,Low risk: retain and upsell,No
2928-HLDBA,Female,0,6,Month-to-month,No,Mailed check,20.7,112.75,No,0.2702656118816223,Low risk: retain and upsell,No
0404-SWRVG,Male,0,3,Month-to-month,Fiber optic,Electronic check,74.4,229.55,Yes,0.7789667361977205,High risk: retention/win-back,Yes
6497-TILVL,Female,0,7,Month-to-month,DSL,Mailed check,50.7,350.35,No,0.20106424267416165,Low risk: retain and upsell,No
7219-TLZHO,Female,0,4,Month-to-month,No,Mailed check,20.85,62.9,No,0.23478413106419022,Low risk: retain and upsell,No
4622-YNKIJ,Male,0,33,Two year,Fiber optic,Electronic check,88.95,3027.65,No,0.08837408180649715,Low risk: retain and upsell,No
4412-YLTKF,Female,1,27,Month-to-month,Fiber optic,Electronic check,78.05,2135.5,Yes,0.47187382788568283,Medium risk: nurture,Yes
6734-PSBAW,Male,0,72,Two year,No,Bank transfer (automatic),23.55,1723.95,No,0.006951548967374631,Low risk: retain and upsell,No
3930-ZGWVE,Male,0,1,Month-to-month,No,Mailed check,19.75,19.75,No,0.24108063235170427,Low risk: retain and upsell,No
2639-UGMAZ,Male,1,71,One year,DSL,Electronic check,56.45,3985.35,No,0.12326581456496374,Low risk: retain and upsell,No
2876-GZYZC,Female,0,13,Month-to-month,Fiber optic,Electronic check,85.95,1215.65,No,0.6894906891790089,High risk: retention/win-back,Yes
6207-WIOLX,Female,0,25,Month-to-month,DSL,Credit card (automatic),58.6,1502.65,Yes,0.19620672327815303,Low risk: retain and upsell,No
8587-XYZSF,Male,0,67,Two year,DSL,Bank transfer (automatic),50.55,3260.1,No,0.007165132477039251,Low risk: retain and upsell,No
3091-FYHKI,Male,0,1,Month-to-month,DSL,Electronic check,35.45,35.45,Yes,0.7371438497827805,High risk: retention/win-back,Yes
2372-HWUHI,Male,0,2,Month-to-month,DSL,Electronic check,44.35,81.25,Yes,0.442162665675536,Medium risk: nurture,Yes
7799-LGRDP,Female,0,43,Two year,No,Credit card (automatic),25.7,1188.2,No,0.01085361946128624,Low risk: retain and upsell,No
7850-VWJUU,Female,0,23,Month-to-month,Fiber optic,Bank transfer (automatic),75.0,1778.5,No,0.26396219500443036,Low risk: retain and upsell,No
3774-VBNXY,Female,0,64,Two year,No,Mailed check,20.2,1277.75,No,0.00820294251595731,Low risk: retain and upsell,No
6217-KDYWC,Male,0,57,Two year,No,Mailed check,19.6,1170.55,No,0.008875867501270335,Low risk: retain and upsell,No
0390-DCFDQ,Female,1,1,Month-to-month,Fiber optic,Mailed check,70.45,70.45,Yes,0.6450301646803115,High risk: retention/win-back,Yes
3146-MSEGF,Female,1,72,Two year,DSL,Credit card (automatic),88.05,6425.65,No,0.016650983857268292,Low risk: retain and upsell,No
4080-OGPJL,Female,0,8,Month-to-month,DSL,Electronic check,71.15,563.65,Yes,0.2917113675356643,Low risk: retain and upsell,Yes
1095-WGNGG,Female,0,61,Two year,Fiber optic,Bank transfer (automatic),101.05,5971.25,No,0.13753295688602907,Low risk: retain and upsell,No
2636-SJDOU,Male,0,64,One year,Fiber optic,Credit card (automatic),84.3,5289.05,No,0.05625522916592091,Low risk: retain and upsell,No
1131-QQZEB,Male,1,71,Two year,No,Bank transfer (automatic),23.95,1756.2,No,0.007815742799433435,Low risk: retain and upsell,No
5716-EZXZN,Female,0,65,Two year,Fiber optic,Credit card (automatic),99.05,6416.7,No,0.02068071503464945,Low risk: retain and upsell,No
6837-BJYDQ,Male,0,3,One year,No,Mailed check,19.6,61.35,No,0.04340376837246787,Low risk: retain and upsell,No
2135-RXIHG,Male,0,1,Month-to-month,DSL,Electronic check,45.65,45.65,Yes,0.5688409247605329,Medium risk: nurture,Yes
6440-DKQGE,Male,0,30,One year,DSL,Credit card (automatic),64.5,1929.95,No,0.03636393794522628,Low risk: retain and upsell,No
3466-BYAVD,Male,0,15,Month-to-month,DSL,Mailed check,69.5,1071.4,No,0.14143512929509572,Low risk: retain and upsell,No
3780-YVMFA,Female,0,8,Month-to-month,DSL,Electronic check,68.55,564.35,No,0.37658382361191295,Medium risk: nurture,Yes
3874-EQOEP,Male,0,7,Month-to-month,Fiber optic,Mailed check,95.0,655.5,Yes,0.6530027535614503,High risk: retention/win-back,Yes
1679-JRFBR,Female,0,70,One year,Fiber optic,Credit card (automatic),108.15,7930.55,No,0.1310794723409485,Low risk: retain and upsell,No
9073-ZZIAY,Male,0,62,Two year,DSL,Electronic check,86.1,5215.25,No,0.020816493996346254,Low risk: retain and upsell,No
3077-RSNTJ,Female,0,6,Month-to-month,No,Mailed check,19.7,113.5,No,0.22108096598524665,Low risk: retain and upsell,No
6551-GNYDG,Female,0,14,Month-to-month,Fiber optic,Bank transfer (automatic),80.9,1152.8,No,0.48358018076936937,Medium risk: nurture,Yes
9167-APMXZ,Female,0,22,Month-to-month,Fiber optic,Bank transfer (automatic),84.15,1821.95,No,0.5469341664616674,Medium risk: nurture,Yes
2749-CTKAJ,Male,0,22,One year,No,Mailed check,20.15,419.9,No,0.02251482814523882,Low risk: retain and upsell,No
6371-NZYEG,Male,0,16,Two year,DSL,Mailed check,64.25,1024.0,No,0.030706433060208257,Low risk: retain and upsell,No
7554-NEWDD,Male,0,10,Two year,No,Bank transfer (automatic),25.7,251.6,No,0.018237037241447422,Low risk: retain and upsell,No
8992-VONJD,Female,0,13,Month-to-month,DSL,Electronic check,56.0,764.55,No,0.26493866553599227,Low risk: retain and upsell,No
0867-MKZVY,Female,0,20,Month-to-month,Fiber optic,Electronic check,82.4,1592.35,Yes,0.32655483714103806,Medium risk: nurture,Yes
4482-EWFMI,Female,0,2,Month-to-month,Fiber optic,Electronic check,69.7,135.2,No,0.7327788217158169,High risk: retention/win-back,Yes
4648-YPBTM,Male,0,53,Two year,DSL,Bank transfer (automatic),73.9,3958.25,No,0.025080766657430382,Low risk: retain and upsell,No
2907-ILJBN,Female,0,11,One year,No,Mailed check,20.6,233.9,No,0.04465766528734713,Low risk: retain and upsell,No
6345-FZOQH,Male,0,69,Two year,No,Mailed check,19.9,1363.45,No,0.007164094116413346,Low risk: retain and upsell,No
3376-BMGFE,Female,0,4,Month-to-month,Fiber optic,Bank transfer (automatic),70.9,273.0,Yes,0.6284273771222715,High risk: retention/win-back,Yes
5997-OPVFA,Male,0,72,Two year,DSL,Bank transfer (automatic),89.05,6254.45,No,0.02221230938787296,Low risk: retain and upsell,No
3445-HXXGF,Male,1,58,Month-to-month,DSL,Electronic check,45.3,2651.2,Yes,0.31604418259599953,Medium risk: nurture,Yes
1159-WFSGR,Female,0,16,Month-to-month,No,Electronic check,20.4,321.4,No,0.19404228447132407,Low risk: retain and upsell,No
7654-YWJUF,Male,0,43,One year,Fiber optic,Bank transfer (automatic),84.25,3539.25,No,0.05243523849477333,Low risk: retain and upsell,No
1875-QIVME,Female,0,2,Month-to-month,Fiber optic,Electronic check,104.4,242.8,Yes,0.7215296452585415,High risk: retention/win-back,Yes
6727-IOTLZ,Male,0,14,Two year,DSL,Mailed check,81.95,1181.75,No,0.06518064882117214,Low risk: retain and upsell,No
0691-JVSYA,Female,0,53,One year,Fiber optic,Bank transfer (automatic),94.85,5000.2,Yes,0.20841864738514923,Low risk: retain and upsell,No
5918-VUKWP,Female,0,32,One year,No,Bank transfer (automatic),20.55,654.55,No,0.02204956357333612,Low risk: retain and upsell,No
1744-JHKYS,Female,0,34,Month-to-month,No,Electronic check,24.7,780.2,No,0.12888107402412513,Low risk: retain and upsell,No
2656-FMOKZ,Female,1,15,Month-to-month,Fiber optic,Mailed check,74.45,1145.7,Yes,0.5706607915950267,Medium risk: nurture,Yes
2070-FNEXE,Female,1,7,Month-to-month,Fiber optic,Bank transfer (automatic),76.45,503.6,Yes,0.31241416992169035,Medium risk: nurture,Yes
5947-SGKCL,Female,0,15,Month-to-month,Fiber optic,Bank transfer (automatic),105.35,1559.25,No,0.5683214700353864,Medium risk: nurture,Yes
3712-PKXZA,Male,0,61,One year,No,Credit card (automatic),20.55,1252.0,No,0.01331236470775401,Low risk: retain and upsell,No
6317-YPKDH,Female,0,1,Month-to-month,DSL,Bank transfer (automatic),29.95,29.95,Yes,0.3188561110533589,Medium risk: nurture,Yes
6582-OIVSP,Female,0,1,Month-to-month,DSL,Mailed check,45.3,45.3,No,0.35944086615825843,Medium risk: nurture,Yes
9367-WXLCH,Male,0,8,Month-to-month,Fiber optic,Bank transfer (automatic),84.5,662.65,Yes,0.5713451787953667,Medium risk: nurture,Yes
5524-KHNJP,Male,0,33,One year,DSL,Credit card (automatic),74.75,2453.3,No,0.04497787108841795,Low risk: retain and upsell,No
1918-ZBFQJ,Female,0,13,Month-to-month,Fiber optic,Electronic check,79.25,1111.65,Yes,0.5577447937159971,Medium risk: nurture,Yes
1024-GUALD,Female,0,1,Month-to-month,DSL,Electronic check,24.8,24.8,Yes,0.5404925045078103,Medium risk: nurture,Yes
4827-USJHP,Male,0,20,Month-to-month,DSL,Mailed check,51.8,1023.85,No,0.23949197439443473,Low risk: retain and upsell,No
8167-GJLRN,Male,0,3,Month-to-month,DSL,Electronic check,30.4,82.15,No,0.40351966733156247,Medium risk: nurture,Yes
0956-SYCWG,Female,0,13,One year,No,Electronic check,19.65,244.8,No,0.06376876090891952,Low risk: retain and upsell,No
8017-UVSZU,Female,0,40,Month-to-month,DSL,Credit card (automatic),56.6,2379.1,No,0.06530979716615638,Low risk: retain and upsell,No
7100-FQPRV,Male,0,43,One year,DSL,Credit card (automatic),71.9,3173.35,No,0.034920914839087304,Low risk: retain and upsell,No
2472-OVKUP,Male,0,6,Month-to-month,Fiber optic,Electronic check,91.0,531.0,Yes,0.6201198178226761,High risk: retention/win-back,Yes
2984-RGEYA,Female,0,69,Two year,No,Bank transfer (automatic),19.75,1375.4,No,0.005481776600704401,Low risk: retain and upsell,No
9680-NIAUV,Female,0,72,Two year,Fiber optic,Credit card (automatic),109.7,8129.3,No,0.044733434573551376,Low risk: retain and upsell,No
2146-EGVDT,Male,0,59,Two year,No,Credit card (automatic),19.3,1192.7,No,0.005319545420193626,Low risk: retain and upsell,No
2604-IJPDU,Female,0,20,Month-to-month,Fiber optic,Electronic check,96.55,1901.65,No,0.3907187437605709,Medium risk: nurture,Yes
9178-JHUVJ,Male,0,24,Two year,No,Bank transfer (automatic),24.1,587.4,No,0.011877997901185773,Low risk: retain and upsell,No
6168-YBYNP,Male,0,59,Month-to-month,Fiber optic,Electronic check,111.35,6519.75,No,0.3642220881076574,Medium risk: nurture,Yes
7255-SSFBC,Male,0,72,Two year,Fiber optic,Bank transfer (automatic),112.25,8041.65,No,0.05304608154595239,Low risk: retain and upsell,No
3645-DEYGF,Male,0,1,Month-to-month,No,Mailed check,20.75,20.75,No,0.16494258183146343,Low risk: retain and upsell,No
9323-HGFWY,Female,0,27,One year,Fiber optic,Credit card (automatic),101.9,2681.15,No,0.19401524153686156,Low risk: retain and upsell,No
